,Sno,Movie Name,Director1,Director2,Director3,Duration,Year,Rating,Metascore
0,1.,The Dark Knight,Christopher Nolan,NaN,NaN,152 min,(2008),9.0,84
1,2.,The Lord of the Rings: The Return of the King,Peter Jackson,NaN,NaN,201 min,(2003),9.0,94
2,3.,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,(2023),8.9,86
3,4.,Inception,Christopher Nolan,NaN,NaN,148 min,(2010),8.8,74
4,5.,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,NaN,NaN,178 min,(2001),8.8,92
5,6.,The Lord of the Rings: The Two Towers,Peter Jackson,NaN,NaN,179 min,(2002),8.8,87
6,7.,The Matrix,Lana Wachowski,Lilly Wachowski,NaN,136 min,(1999),8.7,73
7,8.,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,NaN,NaN,124 min,(1980),8.7,82
8,9.,Soorarai Pottru,Sudha Kongara,NaN,NaN,153 min,(2020),8.7,NaN
9,10.,Terminator 2: Judgment Day,James Cameron,NaN,NaN,137 min,(1991),8.6,75
10,11.,Star Wars,George Lucas,NaN,NaN,121 min,(1977),8.6,90
11,12.,Shichinin no samurai,Akira Kurosawa,NaN,NaN,207 min,(1954),8.6,98
12,13.,Seppuku,Masaki Kobayashi,NaN,NaN,133 min,(1962),8.6,85
13,14.,Sita Ramam,Hanu Raghavapudi,NaN,NaN,163 min,(2022),8.6,NaN
14,15.,Gladiator,Ridley Scott,NaN,NaN,155 min,(2000),8.5,67
15,16.,Léon,Luc Besson,NaN,NaN,110 min,(1994),8.5,64
16,17.,The Dark Knight Rises,Christopher Nolan,NaN,NaN,164 min,(2012),8.4,78
17,18.,Avengers: Endgame,Anthony Russo,Joe Russo,NaN,181 min,(2019),8.4,78
18,19.,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,(2018),8.4,87
19,20.,Raiders of the Lost Ark,Steven Spielberg,NaN,NaN,115 min,(1981),8.4,85
20,21.,Aliens,James Cameron,NaN,NaN,137 min,(1986),8.4,84
21,22.,Oldeuboi,Park Chan-wook,NaN,NaN,101 min,(2003),8.4,77
22,23.,Avengers: Infinity War,Anthony Russo,Joe Russo,NaN,149 min,(2018),8.4,68
23,24.,Kaithi,Lokesh Kanagaraj,NaN,NaN,145 min,(2019),8.4,NaN
24,25.,Asuran,Vetrimaaran,NaN,NaN,141 min,(2019),8.4,NaN
25,26.,Top Gun: Maverick,Joseph Kosinski,NaN,NaN,130 min,(2022),8.3,78
26,27.,Heat,Michael Mann,NaN,NaN,170 min,(1995),8.3,76
27,28.,North by Northwest,Alfred Hitchcock,NaN,NaN,136 min,(1959),8.3,98
28,29.,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,NaN,NaN,131 min,(1983),8.3,58
29,30.,Mononoke-hime,Hayao Miyazaki,NaN,NaN,134 min,(1997),8.3,76
30,31.,Dangal,Nitesh Tiwari,NaN,NaN,161 min,(2016),8.3,NaN
31,32.,Kantara,Rishab Shetty,NaN,NaN,148 min,(2022),8.3,NaN
32,33.,Vikram,Lokesh Kanagaraj,NaN,NaN,175 min,(2022),8.3,NaN
33,34.,K.G.F: Chapter 2,Prashanth Neel,NaN,NaN,168 min,(2022),8.3,NaN
34,35.,Shershaah,Vishnuvardhan,NaN,NaN,135 min,(2021),8.3,NaN
35,36.,Ratsasan,Ram Kumar,NaN,NaN,170 min,(2018),8.3,NaN
36,37.,Batman Begins,Christopher Nolan,NaN,NaN,140 min,(2005),8.2,70
37,38.,Spider-Man: No Way Home,Jon Watts,NaN,NaN,148 min,(2021),8.2,71
38,39.,Jurassic Park,Steven Spielberg,NaN,NaN,127 min,(1993),8.2,68
39,40.,1917,Sam Mendes,NaN,NaN,119 min,(2019),8.2,78
40,41.,Indiana Jones and the Last Crusade,Steven Spielberg,NaN,NaN,127 min,(1989),8.2,65
41,42.,Kill Bill: Vol. 1,Quentin Tarantino,NaN,NaN,111 min,(2003),8.2,69
42,43.,V for Vendetta,James McTeigue,NaN,NaN,132 min,(2005),8.2,62
43,44.,Die Hard,John McTiernan,NaN,NaN,132 min,(1988),8.2,72
44,45.,Ran,Akira Kurosawa,NaN,NaN,162 min,(1985),8.2,97
45,46.,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,NaN,NaN,117 min,(2020),8.2,72
46,47.,Gangs of Wasseypur,Anurag Kashyap,NaN,NaN,321 min,(2012),8.2,89
47,48.,Yôjinbô,Akira Kurosawa,NaN,NaN,110 min,(1961),8.2,93
48,49.,K.G.F: Chapter 1,Prashanth Neel,NaN,NaN,156 min,(2018),8.2,NaN
49,50.,Baahubali 2: The Conclusion,S.S. Rajamouli,NaN,NaN,167 min,(2017),8.2,NaN
